Date,CSI500,Shanghai ,CSI300,HSI,STI,TWSE,MSCI World,S&P500,N225,LSE,ASX,Custom
2018-09-21,3.1099,4.3198,5.194,2.4451,1.7796,0.9594,1.54,0.8499,3.3569,-0.34,-0.4687,1.999175791
2018-09-28,-0.7852,0.8531,0.8321,-0.5905,1.2236,0.3092,-0.73,-0.5356,1.0478,-4.21,-0.0785,-0.409175087
2018-10-05,0,0,0,-4.3757,-1.451,-4.4449,-1.49,-0.975,-1.3944,-0.9,-3.9585,-4.391689604
2018-10-12,-11.3031,-7.6005,-7.7973,-2.9018,-4.381,-4.4814,-4.09,-4.1046,-4.579,-8.98,-4.0726,-4.492268745
2018-10-19,-3.7077,-2.1653,-1.1285,-0.9305,-0.217,-1.2597,-0.05,0.0235,-0.7164,6.49,1.3129,-1.33778582
2018-10-26,2.1952,1.897,1.2341,-3.301,-2.9548,-4.3358,-3.9,-3.9414,-5.9803,-5.29,-2.3898,-4.637918915
2018-11-02,5.6648,2.9871,3.6744,7.1557,4.8576,4.3988,2.77,2.4211,4.9992,2.3,2.7759,6.997506502
2018-11-09,-2.1873,-2.8995,-3.7323,-3.3392,-1.2328,-0.773,1.3,2.1281,0.0296,-1.7,2.6338,-2.046223686
2018-11-16,6.7579,3.0874,2.8486,2.2717,0.1829,-0.3349,-1.52,-1.6088,-2.5614,-3.78,0.5394,0.741470311
2018-11-23,-6.1092,-3.7186,-3.5055,-0.9771,-1.0089,-1.3248,-2.79,-3.7902,-0.1559,-1.83,-1.2356,-1.458878631
2018-11-30,-0.0124,0.3374,0.9294,2.2334,2.1333,2.2833,3.36,4.8474,3.2546,-0.4,-0.7572,3.576642193
2018-12-07,1.7916,0.6839,0.2797,-1.6712,-0.2082,-1.2859,-3.73,-4.6044,-3.0083,-4.16,-0.481,-2.258158443
2018-12-14,-1.911,-0.4661,-0.492,0.1191,-1.0938,0.1361,-1.15,-1.2582,-1.4016,3.14,-1.4333,-1.344880288
2018-12-21,-2.4998,-2.9876,-4.3121,-1.3082,-1.0091,-0.9974,-5.54,-7.0513,-5.6545,1.04,-1.3358,-3.297592909
2018-12-28,-0.8742,-0.8884,-0.6187,-0.9677,0.2426,0.5244,1.95,2.8602,-0.7509,0.52,3.4105,1.055275546
2019-01-04,0.8557,0.8409,0.8377,0.4777,0.19,-3.5457,1.78,1.8586,-2.2624,4.16,0.5469,-1.926054037
2019-01-11,4.1598,1.5493,1.9403,4.0632,4.5574,4.0169,2.78,2.5403,4.078,3.22,2.2581,6.097210921
2019-01-18,0.408,1.6514,2.3716,1.5882,0.8032,0.7855,2.23,2.8676,1.5048,3.29,2.9981,2.0185101
2019-01-25,-0.564,0.2203,0.5144,1.7658,-0.6851,1.3578,0.05,-0.2228,0.5201,1.77,1.7684,2.007436058
2019-02-01,-0.0756,0.6345,1.9761,1.3114,-0.4238,-0.3746,1.38,1.5675,0.0714,2.69,-0.9842,1.540729198
2019-02-08,0,0,0,0.0558,0.419,0,-0.44,0.0499,-2.1898,-1.13,4.3796,-15.84344517
2019-02-15,4.2664,2.4502,2.8117,-0.1627,1.1774,1.3342,2.28,2.5008,2.7908,1.92,0.9374,18.68390201
2019-02-22,6.8627,4.5423,5.4336,3.2811,0.9309,2.5648,0.99,0.615,2.5113,-2.52,3.6262,3.668187549
2019-03-01,6.5138,6.7676,6.5224,-0.0143,-1.5138,0.6418,0.45,0.3946,0.827,5.3,-0.1565,0.469583756
2019-03-08,3.1971,-0.8064,-2.4571,-2.0261,-0.7617,-1.419,-2.16,-2.1622,-2.6716,-2.68,-0.8121,-2.204477298
2019-03-15,2.195,1.7472,2.3903,2.7768,0.1349,1.9283,2.81,2.8949,2.0227,4.64,0.7756,2.563853011
2019-03-22,5.0947,2.7268,2.3711,0.3485,0.3725,1.9142,-0.66,-0.7713,0.8228,-3.87,-0.3848,1.009373572
2019-03-29,-1.5826,-0.4314,1.0053,-0.213,0.0243,0.0185,0.62,1.2029,-1.9491,2.02,-0.0715,-0.339670949
2019-04-05,5.9794,5.0413,4.9037,3.0462,3.4162,0.5952,2,2.0583,2.8374,4.1,0.9307,2.505632418
2019-04-12,-2.7524,-1.7848,-1.8122,-0.0887,0.2811,0.9428,0.44,0.5071,0.2892,-1.4,1.83,1.600750188
2019-04-19,1.9315,2.577,3.3092,0.1789,0.4682,1.5104,0.04,-0.0819,1.5089,1.46,-0.2229,0.49715611
2019-04-26,-7.3134,-5.6377,-5.6141,-1.1956,0.2799,-0.1461,0.62,1.1996,0.262,1.82,4.5239,-0.680283616
2019-05-03,-1.9364,-0.2611,0.6154,1.6097,1.0527,1.3132,0.18,0.1959,0,2.65,0.7481,-14.34123565
2019-05-10,-5.391,-4.5196,-4.6703,-5.0905,-3.5018,-3.4544,-2.36,-2.1809,-4.1054,-2.16,-0.0928,13.35718442
2019-05-17,-3.8273,-1.9364,-2.1898,-2.1148,-2.0785,-3.0699,-0.46,-0.759,-0.4443,2,1.0086,-3.779394837
2019-05-24,-1.8943,-1.0166,-1.5032,-2.1202,-1.1097,-0.5376,-1.01,-1.1705,-0.6253,-1.14,0.8672,-3.676842922
2019-05-31,1.5316,1.6019,0.9982,-1.6555,-1.6445,1.648,-2.33,-2.6185,-2.4436,0.39,-1.3286,-0.912274407
2019-06-07,-4.7388,-2.4459,-1.7938,0.2386,1.5566,-0.8505,3.94,4.4069,1.3762,3.26,4.6733,1.139787553
2019-06-14,2.4838,1.9159,2.5304,0.5677,1.7794,1.1093,0.19,0.4747,1.1117,-0.51,2.1566,1.381454054
2019-06-21,5.5833,4.164,4.8992,4.9979,3.0649,2.6519,2.22,2.1988,0.6713,2.19,2.1111,4.464138595
2019-06-28,-1.1403,-0.7696,-0.2178,0.242,0.0063,-0.6751,0.01,-0.2949,0.0813,-0.62,-0.4111,0.059225826
2019-07-05,1.7048,1.0803,1.7674,0.8136,1.3608,0.5116,1.25,1.6538,2.2112,1.72,6.1673,1.36443464
2019-07-12,-3.4221,-2.6739,-2.1697,-1.0537,-0.2813,0.3581,0.32,0.7812,-0.2781,1.07,-0.9605,-0.394115583
2019-07-19,0.3369,-0.2165,-0.0204,1.0318,0.6142,0.4512,-0.82,-1.233,-1.0095,0.43,0.8544,1.596652786
2019-07-26,0.3808,0.6956,1.3292,-1.2781,-0.4204,0.1728,0.96,1.6546,0.8905,-2.34,-0.1717,1.399456112
2019-08-02,-2.5808,-2.6049,-2.8801,-5.2087,-3.0516,-3.1486,-2.97,-3.1003,-2.6364,17.94,2.2936,-4.690593184
2019-08-09,-5.8603,-3.2458,-3.0396,-3.6379,-2.8263,-0.5171,-0.68,-0.457,-1.908,-0.61,-2.657,-2.235780807
2019-08-16,2.8258,1.7685,2.1194,-0.7906,-1.7012,-0.7013,-1.26,-1.0268,-1.286,1.13,-2.3494,0.988251002
2019-08-23,2.7852,2.6064,2.9733,1.7296,-0.1502,1.1249,-0.66,-1.4391,1.4305,0.76,1.0614,-0.151354029
2019-08-30,-0.9438,-0.3862,-0.5569,-1.7365,-0.1231,0.7586,2.1,2.787,-0.0316,0.78,0.7235,1.466548881
2019-09-06,5.6159,3.9278,3.9194,3.7553,1.2219,1.5313,1.89,1.7854,2.3918,6.37,0.8389,2.543608895
2019-09-13,2.5178,1.0546,0.6046,2.48,2.131,0.4351,1.24,0.9628,3.7205,4.45,-6.7779,1.668660493
